id,parent_id,label,stage,sku_num,image,all_sku_num
1729821310607242434,3,3M,2,0,,52
9508,3,ALLEN-BRADLEY,2,0,,13502
9517,3,ABB,2,0,,62840
9519,3,Advantech,2,0,,114
10742,3,Autonics,2,0,,18
12855,3,ADDA,2,0,,0
15513,3,Amphenol,2,0,,0
16131,3,Acrel,2,0,,229
23195,3,Aopre,2,0,,26
36811,3,Alpha Wire,2,0,,4785
37523,3,AZBIL,2,0,,2487
41976,3,Anyan,2,0,,27
44051,3,ANCEL,2,0,,14
44108,3,ADVANTECH,2,0,,0
44374,3,AMSAMOTION,2,0,,273
44912,3,Andatong,2,0,,85
45587,3,AUTOPHIX,2,0,,9
45781,3,ACI,2,0,,968
1715855115025255732,3,asemi,2,0,,4
1716002505090888933,3,AUTEL,2,0,,34
1716967958543129727,3,AUTOOL,2,0,,25
1720229766809958840,3,Autonics,2,0,,2192
1720777575724539622,3,ANLY,2,0,,767
1723190303734838123,3,Ansier,2,0,,0
1723714954054457232,3,AML,2,0,,84
1725689223151300088,3,ANYCUBIC,2,0,,0
1726714906588533216,3,AirTAC,2,0,,1756
1727163439387189222,3,AO Yang,2,0,,91
1731060156533931336,3,Ansell,2,0,,0
1731750820377868326,3,AnNai,2,0,,26
1733550293944818431,3,Aqara,2,0,,11
1734160721724225128,3,AIPING,2,0,,13
1734673567560751941,3,ADLink,2,0,,0
9509,3,Beckhoff,2,0,,1902
9541,3,Balluff,2,0,,8942
9548,3,Bosch,2,0,,98
12818,3,Bihl+Wiedemann,2,0,,927
15299,3,Banner,2,0,,19139
17473,3,Basler,2,0,,0
17474,3,Basler Electric,2,0,,0
19411,3,Baumer,2,0,,6502
34781,3,Binder,2,0,,0
36304,3,BK Precision,2,0,,257
36685,3,Bivar,2,0,,0
38145,3,Bel Fuse,2,0,,7659
38725,3,Beijer,2,0,,0
38861,3,Burkert,2,0,,15
39437,3,BKMAM,2,0,,1
43279,3,Bi-Sonic,2,0,,0
43541,3,Bulgin,2,0,,0
44020,3,BAOYILAI,2,0,,35
44804,3,Baoxuan,2,0,,10
45598,3,BOSCH,2,0,,101
1716373495114106135,3,BULL,2,0,,605
1717575747501454941,3,Burkert,2,0,,0
1718068869833089666,3,BELDEN,2,0,,0
1721469810875529365,3,BLIOT,2,0,,668
1724311003358115298,3,BOHU,2,0,,36
1729490175100001517,3,Bossdun,2,0,,64
1730081009801054674,3,Bachmann,2,0,,2
1730192013560821649,3,Bently Nevada,2,0,,75
1732184745772099744,3,BLACK CLUBS,2,0,,32
1732332587921511777,3,BXBI,2,0,,137
1733108499402988064,3,BengBu,2,0,,14
1736730997669288926,3,Belimo,2,0,,177
17463,3,CARLO GAVAZZI,2,0,,5068
17481,3,Cognex,2,0,,0
22679,3,Comus,2,0,,1152
34735,3,Cabur,2,0,,266
36716,3,Cnlinko,2,0,,0
36725,3,CONTEC,2,0,,0
36795,3,Chemi-con,2,0,,1
38760,3,CHINT,2,0,,62
38998,3,CHNT,2,0,,681
39001,3,Colbalon,2,0,,15
39165,3,Co-trust,2,0,,69
40880,3,CU YUE,2,0,,33
41235,3,COTO,2,0,,951
41400,3,Cottden,2,0,,23
41866,3,CHANG SD,2,0,,13
42410,3,Central Semiconductors,2,0,,5280
44269,3,CHAOYUE,2,0,,15
45631,3,CLIQHOM,2,0,,3955
45778,3,Cannon,2,0,,153
1716257221682846727,3,CHEMI-CON,2,0,,1245
1716357170456641209,3,CGDI,2,0,,10
1717568897806498747,3,Chuanglian,2,0,,47
1722045866303877485,3,CNTENGFEI,2,0,,40
1723630908026498308,3,CLX,2,0,,19
1727059795853063218,3,CGQ,2,0,,1012
1729837465404462428,3,Comfortech,2,0,,13
1732184824926551761,3,Continental,2,0,,457
1733381164490201479,3,CH-clutch,2,0,,23
1733567984264158299,3,CKD,2,0,,12
1734682626558680947,3,ChenZhouDao,2,0,,11
1734748247324495661,3,CHENZHU,2,0,,286
1735035241365938845,3,CHCC,2,0,,136
1735097976568454776,3,CUH,2,0,,1
1735289552100000947,3,C-lin,2,0,,395
1735612687485320795,3,chziri,2,0,,1
9529,3,Delta,2,0,,4377
9537,3,Danfoss,2,0,,25671
12871,3,Delxi,2,0,,0
14316,3,DEGSON,2,0,,9012
17498,3,Dalsa,2,0,,0
23713,3,DEHN,2,0,,1022
25502,3,Di-soric,2,0,,1980
28979,3,DECOWELL,2,0,,76
34731,3,DEUZE,2,0,,2090
36726,3,Diodes,2,0,,8253
36817,3,Dirak,2,0,,0
37661,3,Diotec Semiconductor,2,0,,5797
39401,3,DESHENG,2,0,,45
39404,3,Deli,2,0,,575
41314,3,Dongcheng,2,0,,429
